,text,start,end
0,สวัสดีครับ,12.618,13.722
1,สวัสดี นักลงทุนทุกท่านนะครับ,14.058,16.53
2, แล้วก็คุณผู้ชมทุกท่านนะครับ,16.53,19.002
3,วันนี้ก็เป็นวัน Auxility Day ที่ผมจะรายงาน,19.242,23.226
4,การล่าสุดนะครับ,23.562,24.762
5,ซึ่งก็ล่าสุดในชื่อไทม่าส์ 2 นะครับ,25.29,28.16
6,แล้วก็อัปเดตเรื่องต่างๆ ของบริษัท Interfarm มา,28.16,31.29
7,เดี๋ยวนะครับ โทษทีครับ,44.298,45.594
8,ก็วิสัยทัศน์ของบริษัทนะครับ,53.706,56.154
9,ก็เราต้องการเป็นพื้นฐานผลิตภัณฑ์สุขภาพแบบครบวงจรนะ,56.586,59.97
10,ครับ ทั้งของคนและของสัตว์จากต้นน้ำ เดินตามตอนน้ำนะครับ,59.97,63.354
11,ก็ขอมอบบินทรัลสุขภาพแบบพวกองค์กรก็,63.882,66.81
12,จะพูดให้ฟังนะครับว่า ว่าเป็นอย่างไรนะครับ,66.954,69.52199999999999
13,แล้วก็จากส้นน้ำเป็นปลายน้ำเป็นอย่างไรนะครับ,69.52199999999999,72.08999999999999
14,สำหรับครบวงจรนะครับ เคยพลัดสุขภาพ,74.25,77.091
15,ในวิสัยทางของบริษัทก็คือว่า,77.091,79.67399999999999
16,จะหมายความว่า ตั้งแต่,79.722,81.978
17,ที่หัวคนเดิมนิดเลยนะครับก็คือเรื่องเกี่ยวกับนวัตกรรมนะครับ ตอนนี้,82.506,86.202
18,งานของผมที่ทำหลักๆ ก็คือเป็นการ,86.346,88.89
19,ไปหาอนุมัติธรรมใหม่ๆ นะครับใน,89.322,91.631
20,การรักษาแล้วก็การป้องกันโรคนะครับ,91.631,94.17
21,แล้วก็ถัดมาอันนี้ก็จะเป็นเรื่องของยาซึ่งปัจจุบัน,94.794,97.752
22,เรามีโรงงานยา 2 โรงนะครับที่ผลิตยาที่เรียกว่า,97.752,100.525
23,เจินดาลิกนะครับหรือ Phenocytical ที่เป็นเจินดาลิก,100.525,103.483
24,แล้วก็จะมีเรื่องของมูลค่าสุทิศแล้ว,105.162,107.442
25,ก็ Cost-Based Surgical นะครับซึ่งมันเป็น,107.442,109.722
26,ตรงกลางนะครับระหว่าง,109.77,111.354
27,อาหารเสริมจากยานะครับที่เรียกว่าฟูจินาเทศักดิ์,111.882,115.29
28,แล้วก็ระหว่างเครื่องสำอางกับยาเนี่ยก็จะเรียกว่า,115.626,119.322
29,คอร์สเมสิทธิพลหรือเม็ดสัมภาษณ์นะครับ,119.754,122.394
30,แล้วก็หมายรวมถึงเรื่องของเจ็บกับ Healthy,123.21,125.824
31," Food, Healthy Drink, Healthy Snack",125.824,127.962
32,แล้วก็ Personal Care อันนี้ก็ยังอยู่,128.682,131.298
33,ในสโคปที่ทางบริษัทจะดำเนินธุรกิจ,131.298,133.91400000000002
34,เพราะว่าผมเองก็มีความเชื่อว่า,135.498,137.85
35,ที่ทานสุขภาพอย่างเช่นอาหารเนี่ยอนาคตมันอาจ,138.186,140.89
36,จะแตกต่อกันตั้งแต่การที่เรารับประทานอาหาร,140.89,143.80200000000002
37,อาหารที่เราทานกันในต่างๆเนี่ย,144.426,146.49
38,ก็คนก็จะเริ่มใส่ใจเรื่องว่า อุ๊ย อาหารที่ทำจะต้องปลอดภัย แล้วก็,146.922,150.81
39,ตีต่อสุขภาพนะครับ บนทั้งเครื่องดื่ม,150.858,153.594
40,สมทบของท่านได้ถูกแล้วครับ,153.834,155.61
41,พูดถึงความอักเสรีฟังก์นะครับอันนี้ก็จะเป็นตัวอย่างของยาที่,157.866,161.466
42,โรงงานโรงผลิตจากทั้งสองโรงงานนะครับที่สำเร็จประจาน,161.898,165.252
43,ที่ภายใต้ซื้อใบสัดย่อยที่ชื่อว่า Modern Smart มาก,165.252,168.186
44,แล้วก็โรงงานที่ชื่อ Inter-,168.618,170.914
45,Sarma ที่อยู่สู่อายุธยานะครับ,170.914,173.46599999999998
46,ที่อยู่ในฝงปรึกษากรรมรถชนะ 2 นะครับ อย่างเช่นซิงเหล็ก,173.802,176.797
47,ก็เป็นยารถไขมัน เม็ดฟอลลินก็เป็นยาประวัติ,176.797,179.418
48,Sensing ก็คือยาแก้แพ้แบบเม่งง่วง AlloTap,179.946,182.274
49, ก็เป็นยาแก้แพ้แบบเม่งง่วงอีกกลุ่มหนึ่งนะครับ,182.274,184.602
50,ทั้งสองกลุ่มเนี้ยก็เป็น เอ่อ ปัจจุบันแพทย์ก็จะใช้กันอยู่ด้วยครับ,184.938,188.73
51,ไปกับซ่อนก็พยายามรักษาโรคเฟลิร์นนะครับ,189.258,191.514
52,ดังนั้นขวาก็จะเป็นตัวอย่างของยาที่ผลิตที่,191.754,195.354
53,สมมติประการนะครับ ปัจจุบันเนี่ย 3 ตัวเนี่ย,195.882,198.714
54,เราก็มีแผนนะครับในการที่จะทำให้มันเป็น OTC แปลนะครับ,198.858,202.554
55,ที่จะเป็นยาที่ใช้กันอย่างเท่าไหร่ในร้านใช้ยา,203.082,206.778
56,อย่างเช่นเบลล่าพลาเนี่ยเป็น,207.018,208.922
57,ยาสามัญประจำบ้านนะครับ,208.922,211.098
58,มี,211.53,212.346
59,ที่เราคุ้นควบต่อ,212.49,213.402
60,อันนี้เขาจะหาที่มีคำว่าเป็นพรีเซนเตอร์นะครับ,213.45,215.898
61,ก็ส่วนโรงงานอายุทธยาเราก็จะผลิตที่,217.962,221.178
62,น่าจะเป็นยอดของคนในมิตรนะครับ ที่เป็นกลุ่มที่เรียกว่าญาตา,221.226,225.018
63,ซึ่งยาต่างก็อย่างที่เคยเรียนแล้วลงคือหลายๆครั้งนะครับว่า,225.834,229.722
64,ยาตาในเมืองไทยมีโรงงานที่,229.962,232.722
65,สามารถผลิตยาตาได้ไม่กี่โลม,232.722,235.482
66,คิดว่าถ้าเป็นผู้ผลิตในประเทศเนี่ยโรงงาน,236.202,239.322
67,ยุทยาน่าจะเป็นอันดับหนึ่ง,239.562,241.242
68,นอกนั้นก็จะเป็นสินค้านำ,241.866,243.354
69,เอ้า นะครับ,243.498,244.41
70,แล้วก็ผลิตในมาตรฐาน เปิดระดับโลกนะครับ,244.554,247.482
71,ที่กลุ่มนี้ก็เลยยังเป็นที่ทางเพวา,247.818,250.29
72,หรือศักยาดับดุโกวิสลาเอนะครับ,250.29,252.76200000000003
73,มันก็เป็นยาเจนลิก บริษัทยาเจนลิก,253.002,255.045
74,อันดับหนึ่งของโลกเนี่ยเขามาจ้างเราผลิตอยู่,255.045,257.274
75,ผลิตยาตาต่อสัตว์,257.418,258.522
76,แต่อย่างที่เคยเรียนนะครับ เราก็จะมีแผน,259.338,261.481
77,ผลิตยาตาของเราเอง ซึ่งตอนนี้ก็พัฒนาอยู่,261.481,263.802
78,แต่เขาจะมีขั้นตอนการขึ้นเรียนอะไรต่างๆ ก็,264.714,267.354
79,คิดว่าจะล้อสิบยาตาของเราเองได้ในปี,267.402,270.042
80,สองพันห้าร้อยหกสิบแปดนะครับ,270.186,272.154
81,ปี 2 เนี่ย,272.394,273.402
82,ยี่สิบห้าอีก,273.546,274.65
83,อีก 2 ปีข้างหน้านะครับ,274.89,276.378
84,นี้ก็จะเป็นตัวอย่างนะครับโฆษณา เอ่อ,278.442,281.036
85, ที่จริงๆแล้วเป็นคลิปนะครับ แต่เข้าใจว่า,281.036,283.866
0, Many have said it was a,284.682,286.65
1, Open up.,287.658,288.762
86,พวกนี้มันทรงไป,289.098,290.394
87,เป็น PDF file นะครับ,290.538,293.082
88,นี้เราก็จะมาด้วยความสัมพันธ์เรื่องของการ,293.13,295.842
89,ลดไข้แล้วก็บรรทองการปวดทั้ง 7 นะครับ,295.842,298.554
90,เราจะเห็นว่า ยาแก้ปวดในท้องตลาดประเยศ ,299.082,301.859
91,ปุ๊บ ยาแก้ปวดหัวนะครับ,301.859,303.354
92,พวกเราเนี่ยได้รับการอุณหภัทรจากออย่อเนี่ย,303.786,306.042
93,สามารถประทับอาจารย์ปวดได้ถึง 7 ปวดนะครับ,306.09,308.73
94,ไม่ว่าจะปวดหัว ปวดฟัน ปวดประจำ,308.874,311.49
95,เดือน ปวดท่อ ปวดเมื่อยจากไขวัตถ์นะครับ,311.49,314.106
96,ตอนนี้เราก็ยินโฆษณาอยู่ คิดว่าหลายๆท่านคงได้เห็นเลยครับ,316.362,319.674
97,พอ นี้ครับ เป็นหลัก,321.162,322.362
98,ออกพุทธศาสนาขึ้นนะครับ,322.506,323.898
99,แต่เสียงอาจจะไม่ออกนะครับ หัวปวดประจำเดือนนะครับ,324.522,327.834
100,ตรวจรั่งอยู่เลยครับ,330.09,331.29
101,ปวดหัว ปวดหลัง ปวดฟัน ปวดข้อ ปวดก้าวเนื้อ,334.794,337.122
102, ปวดประจำเดือน ปวดเมื่อยจัดให้หวานนะครับ,337.122,339.44999999999993
103,ปัจจุบันก็ขายอยู่ในทุกช่องทาง,339.882,342.258
104,นะครับ ไม่ว่า 7-11 มีนี้มา,342.258,344.634
105,บัตรโบริเวิร์นเทรดแล้วก็ร้านขยะรั่วไฟนะครับ,345.066,347.994
106,"ตอนนี้เราก็คิดว่าเรากระจายได้อยู่ประมาณสัก 4,000",348.33,351.389
107," ล้านชานะครับ เราพยายามจะขยายให้พวก 10,000 ล้านชานะครับ",351.389,354.618
108,อันนี้เราก็ปัจจุบันเราก็เลยมีผลิตภัณฑ์,356.394,359.956
109,ที่เรามีพรีเซนเตอร์อยู่ 3 ตัวนะครับ,359.956,362.97
110,เวลาภาระก็คือคนอ้างนะครับ,364.266,366.5750000000001
111, ยาสีฟันโปรเบิร์ติกของเราก็คือคุณ,366.5750000000001,369.114
112,อินเตอรี่นะครับ,369.546,370.65
113,แล้วก็มีโปรแกรม Student ที่คุณ,370.89,374.106
114,แม่นแคพพิยายัน อินพอสกับตับ,374.442,376.602
115,ในกลุ่มนูเท้า ซูลิโคลด์ และเหมือนเดิม ผลัดเมืองทองโลก,379.722,383.322
116,จะมีตั้งแต่โปรแกรม ฟรีโบล วิตามินรวมต่างๆ,383.322,386.682
117,แล้วก็อย่างที่ท่านทราบนะครับว่า,389.514,392.826
118,โอแบคของเราก็ยังเป็นยอดขายอันดับหนึ่งในร้านขยะนะครับ,392.874,396.474
119,แล้วในโรงพยาบาลก็เป็นอันดับหนึ่งนะครับ ใน,396.906,399.522
120,"แง่ของกลุ่ม 7,000 โปรไกโอติกนะครับ",399.522,402.138
2, ก็ผิด,402.954,404.25
121,เนื่องจากว่าเขาจะมีผู้ใช้กันอยู่อย่างแค่ไหน,405.354,408.858
122,อันนี้สิ่งที่เราหล่อเห็นไหมครับว่าผมมี,409.578,412.41
123,ตัวสีแดงเนี่ย คือบอกระวังสินค้าปอมแล้วล่อเล่นแบบ,412.65,416.058
124,สิ่งที่กระทบกับเราค่อนข้างมากก็คือสินค้าออมแล้วก็โลกเรียนแปลก,416.298,420.09
125,แล้วโปรแกรมเนี่ยเราก็ผมเองก็มาตั้งแต่นั้น,420.906,423.354
126,เพราะว่าเวลาคุณโฟกัสกับปัจจุบันในท้องถนนมีค่อนข้างเยอะ,423.498,426.884
127,นะครับ เราเป็นรายแรกก็จริง ปัจจุบันเหล่านี้ก็น่าจะมีเป็นร้อย,426.884,430.458
128,ผลิตภัณฑ์เนี่ย,430.506,431.61
129,แต่ก็เพราะว่า เราผมเองก็,431.658,433.759
130,จะแนะนำว่าควรจะใช้ตัวที่,433.759,436.122
131,หรือคณะกรรมการแพทย์ไม่ว่าจะแพทย์,436.362,438.5220000000001
132,เป็นศักดิ์สกรเนี่ยเราใช้นะครับเชื่อถือ,438.5220000000001,440.922
133,เราก็น่าจะเป็นแบรนด์เดียวที่ขายอยู่ในโรงพยาบาล,441.45,445.242
134,ว่าเครดิตสันนำนะครับ เครดิตสโลวัตต์ต่างๆ นะครับ,446.154,449.178
135,อันนี้ก็จะเป็นกลุ่ม,452.202,453.402
136,เสื้อสำปะเลยนะครับ,453.546,454.746
137,ก็จะส่วนใหญ่เราจะพัฒนาอยู่บนทหารของโปรเกติก,455.946,459.306
138,นะครับ ไม่ว่าจะยาสิทธิ์บรรพบุรังนะ โปรเกติก,459.306,462.426
139,แล้วก็มูสสำหรับล้างซึ่งซ่อนเลนนะครับ,462.858,466.074
140,ก็เป็นภายใต้แบบที่ชื่อว่า TSO มูส ยูมูส,466.314,469.818
141,แล้วก็ YouTube Test นะครับ,470.25,471.738
142,วันนี้ก็อยากเสียกว่า 10 วัน แต่ว่า,473.034,475.068
143, 10 วันเราก็ต้องเสียเงินแปลงเดี๋ยวที่เรา,475.068,477.306
3, Om,477.93,478.746
144,อันนี้ก็ต้องได้หนูมาจากเอายอ,478.89,481.122
145,นะครับว่า คบจบในหลอดเดียวนะครับ,481.122,483.354
146,Policies of care is to provide the benefit,483.498,486.33
147,ก็ได้ทุก ๆ ด้านนะครับ ไม่ว่าจะฟันขาว,486.858,490.266
148,กลิ่นปลานะครับ รสชาติครับ,490.314,492.762
149,รสชาติผิดปูนนะครับ อะไรต่างๆ,493.002,495.354
150,จริงๆแล้วในแง่ของการวิจัยเนี่ย ใน,495.594,498.096
151,แง่ของ Paper และ Application ต่างๆเนี่ย,498.096,500.826
152,แนวโน้ตนะครับถ้าเราถามทันตแพทย์เนี่ยก็จะมี,501.258,504.162
153,บทบาทกับการใช้โปรเกติกเนี่ยเป็นระยะสิบวัน,504.162,507.066
154,มากขึ้นเรื่อยๆ นะครับ,507.21,508.506
155,เราก็อยากจะเรียนว่าจริงๆแล้วสูตรของเราเนี่ยเป็นสูตรที่ดีๆเอ่อ,510.57,514.17
156,เฉพาะเราใส่สารฉับฟันไม่มาก รสชาติอ่อนโยง,514.602,517.582
157, และสร้างสมดุลของแบคทีเรียในช่องปาก,517.582,520.314
158,"จริงๆ แล้วปรัชญาในช่วงป่ามีถึง 50,000 ล้านตัวนะครับ",521.034,524.922
159,บางครั้งก็จะเช่าคนให้ว่า,525.546,527.586
160, จุดครั้งนี้เปลี่ยนทั้ง 70 ล้านตัว,527.586,529.626
161,เพราะฉะนั้นก็ควรจะใช้ยาสิทธิ์พอที่จะสร้างสมดุลยาวแบคทีเรียในช่องปาก,530.346,534.234
162,เพราะว่าช่องปากที่ดีเป็นพื้นฐานนะครับ,534.858,537.21
163,ในการที่จะมีชีวิตที่ยินยาวแล้วก็ชะลอไว้นะครับ,538.122,541.338
164,นะครับ นอกจากทำไส้เลย,541.962,543.354
165,แล้วปากก็จะเป็นตึกเริ่มต้นของการรับประทานอาหาร,543.69,546.714
166,ก็ตลอดทางเดินทางหาที่ดีเนี่ย,547.626,549.7139999999999
167,ก็จะทำให้สุขภาพดีนะครับ,549.7139999999999,551.8019999999999
168,แล้วก็ตัวนี้ที่เราคิดว่าเป็นนวัตกรรมนะครับ ซึ่งภายใต้,553.194,556.338
169,เป็นสัจเจวีระหว่าง Interformer กับ Thai Union นะครับ,556.338,559.482
170,ไทยอินเตอร์ฟาร์ม่าถึงหุ้น 51% ไทยอยู่เนี่ย,559.818,562.514
171,ถึงหุ้น 49% นะครับ ชื่ออินเตอร์ฟาร์ม่าสิบสาม,562.514,565.434
172,อันนี้เราก็หลังจากเรา,565.866,567.834
173,ลอง ถ้าลองจราจรต่างๆ ก็,567.882,570.042
174,ผมคิดว่าน่าจะถึงเวลาที่เราจะ,570.378,572.898
175,เริ่มทำการที่จะให้คนรู้จักแค่ไหน,572.898,575.418
176,ว่ามี DSA ถึง 600 อเมริกาเนอะ,575.85,578.202
177,เราก็คิดว่าตัวนี้จริงๆแล้วเป็นนวัตกรรมมากนะครับ,578.73,581.922
178, ผมเองก็ทานทุกวัน แล้วให้คุณแม่ทาน ให้ลูกทานเนี่ย,581.922,585.114
179,เพราะพบว่ามีสิ่งเหงา,585.546,586.938
180,คือพันธมณ์ในท้องตลาดไม่มี DSA,588.522,591.138
181, ได้ถึงไม่เกินแค่ร้อยกว่าบริการ,591.138,593.754
182,600 มีกรัมเนี่ยจะเทียบเท่ากับการป่าถึง เราจะ,594.186,597.029
183,เขียน DHA 600 มีกรัมต้องผ่านป่าถึง 20 กิโลนะครับ,597.029,600.09
184,ยังก็มาด้วย Position 20 กิโลนะครับ,600.522,602.97
185,แล้วก็อย่างที่เรียนนะครับว่าโรงงานยุทธยาเนี่ย,603.594,605.922
186, ตอนนี้เราก็ทำได้กับปีที่แล้วนะฮะ 2022,605.922,608.25
187,แผนที่เราจะปรับให้เป็น EU Standard นะครับ เป็น,608.682,611.386
188, Standard ระดับโลกสามารถจะฝึกออกไปทั่วโลกได้,611.386,614.298
189,เรากำลังทำยาตานะครับ ซึ่งเป็นภัยหนึ่งของโลกนะครับ,614.826,617.754
190,เพราะปัจจุบันเดียวกันจะเป็นโรคตากันค่อนข้าง,618.186,620.5070000000001
191,มากนะครับไม่ว่าเด็กที่จะเป็นสายตาสั้น,620.5070000000001,622.6500000000001
192,คนแก่มากขึ้นก็จะมีสายตายามาก,622.794,625.17
193,ขึ้นมีท่อประจกมากขึ้นท่อดินมากขึ้น,625.17,627.5459999999999
194,อักเสบมากขึ้นนะครับ,627.882,629.274
195,แล้วก็นี่ครับก็คิดว่าน่าจะ launch ได้นะ,629.994,632.551
196,ครับในเดือนต้นมากับ 4 ปี พ.ศ. 2526 นะครับ,632.551,635.322
197,เพราะว่ามันจะมีกระบวนการผลิตเทคโนโลยี ทานเฟอร์ ขึ้นทะเบียนอะไรต่างๆ,635.946,639.546
198,แล้วก็เราก็มีแผนนะครับที่เราก็จะทำไปสู่,641.418,645.402
199,ยาสมุนไพรแบบโมเดิร์นนะครับ แบบสมัยใหม่,645.45,648.186
200,แล้วก็มีแผนที่จะทำยาหม่อมยาดม,648.906,652.41
201,ลูกอมสมุนไพรเลยครับ เนื่องจากว่า,652.458,654.618
202,โรงงานสมุดประการเราได้รับบริการในการผลิต,654.762,657.498
4, Hello. Hello.,657.834,658.65
203,เป็นพระสมุนไพรแล้วนะครับ,658.794,660.378
204,สมุทรไทยก็เป็นเพียงหนึ่งของโลกนะครับ,660.81,663.066
205,ผมคิดว่า ลูกอมเราก็เป็นลูกอมที่,663.69,666.514
206,มีแตกต่างกับบรรเทาอาจารย์ไอได้นะครับ,666.514,669.594
207,มีการถ่ายข่าวที่ป้องกันการติดเชื้อ รถการอักเสบได้,669.93,673.434
208,แล้วก็ในแง่ของสัตว์นะครับ เป็นพันธุ์สุขภาพ แล้วก็ควบวงจรเลยครับ,675.498,678.906
209,ตาม 3 เหรียญเลยครับ,679.146,680.442
210,ไม่ว่าเราจะเป็นยานะครับ,680.778,683.01
211,ถุงยาสำหรับน้องหมาน้องแมว,683.01,685.242
212,อ๋อ โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค,685.866,688.602
213,สำเนาและแมวนะครับ,689.034,690.714
214,ไม่ว่าจะเป็นแชมพูนะครับ,691.242,693.306
215,อย่างสมุดเวทสมทางของน้องหมากน้องแมวเนี่ย,693.546,696.09
216,แล้วก็เซ็นปูนรกร่างดับหนึ่งนะครับ,696.138,698.01
217,แล้วก็ไม่ว่าจะเป็นอาหารสุขภาพนะครับของเราเป็นเว็บโพดับที่,698.922,702.906
218,"ทั้ง P-Civative Free-Gift, Gluten-Free,",703.146,706.3209999999999
219," Grain-Free ที่ยังใส่ P-Bertig, Omega 3",706.3209999999999,709.7219999999999
220,ปัจจุบันเราก็ส่งออกไป 5 ประเทศนะครับ,710.442,713.274
221,แล้วก็ยังขึ้นเรียนอยู่อีกสองประเทศนะครับก็น่าจะ,713.802,717.018
222,ส่งออกเลยภายในช่วงปีนี้อาจจะส่งออกได้ทั้งหมด 7 ประเภทนะครับ,717.354,720.762
223,เดือนหน้าเราก็จะมีการไปออกบูที่ยุโรปนะครับ เราก็จะเปิดตลาดที่ยุโรป,721.29,725.274
224,นะครับ อันนี้ก็อยู่ภายใต้บริษัทรวมทุนระหว่าง,727.434,730.362
225,Interformer แล้วก็,730.698,732.186
226,ออมเกณฑ์เอเชียนนะครับเอเชียนอะไรอ่ะอันสุดนะครับ,733.77,736.314
227,เราถือหุ้น 60% นะครับ ห้องเรียนเอเชียน,736.554,739.17
228,อะไรอันนั้นถือหุ้นอยู่ 40% นะครับ,739.17,741.786
229,นี่ก็คือคำว่าเป็นทางสุขภาพแบบพกวงจร,742.506,745.246
230,แล้วก็คำว่าต้นน้ำยันปลายน้ำเนี่ย,745.246,747.3539999999999
231,ปัจจุบันเราก็มีโรงงานอยู่ 2 โรง,747.594,749.826
232,งานนะครับ โดยเฉพาะโรงงานที่วิทยาเนี่ย,749.826,752.058
233,จะมีไทยหลับแทนที่,752.202,753.402
234,ในการวิจัยและก็พัฒนา,753.546,755.13
235,หลังจากนั้นก็จะมีการผลิตนะครับ,755.562,757.626
236,ที่ Modern Farmer เราก็มีการพิจารณาพัฒนานะครับ พิจารณาเอาไปทำ,758.154,762.042
237,อย่าทั่วไปนะครับ,762.186,763.482
238,อาหารเสริม ไม่ใช่น้ำมันบาด แล้วก็ไม่ใช่สำอาง,763.626,766.746
239,หลังจากนั้นเราก็จะผลิตนะครับ,767.37,769.338
240,ปลายน้ำปัจจุบันเราก็มีร้านขยะนะครับ,769.578,771.93
241,แล้วก็มีโรงพยาบาลอยู่ 1 แห่งที่เราถึงรูป 50% นะครับ,772.17,775.674
242,นั่นแหละ เราก็ขยายตัวอยู่เรื่อยๆนะครับ,776.298,778.458
243,พูดถึงกรณีโรงงานยุทยาปัจจุบัน,778.986,781.274
244, แล้วก็ Circular capacity ได้,781.274,783.354
245,มากขึ้นเรื่อยๆ จากการที่เราก็จะ,783.498,785.73
246,ไปคุยหาพาราแบบชิปเพิ่มนะครับ,785.73,787.962
247,ซึ่งก็ยังเป็น on-going process อยู่เรื่อย ๆ นะครับ,788.778,792.186
248,หรือว่านักลงทุนหลายท่านก็มีได้ไปถึง,792.81,794.9069999999999
249,ผมนะครับ ในแง่ของปลายน้ำเนี่ยปัจจุบันเนี่ย,794.9069999999999,797.1779999999999
250,นักฟอร์มเมอร์ซีนเราก็มีการขยายเพิ่มอีก 7,797.802,800.514
251, สาขาในปีนี้ก็เป็น 27 สาขานะครับ,800.514,803.226
252,แล้วก็คิดว่าถึงสิ้นปีนะครับ เอาจริงๆ แล้วเรา,803.85,807.256
253, 35 สาขา แต่น่าจะจบที่ประมาณ 30-31 สาขา,807.256,810.906
254,เพราะว่าหลาย ๆ ที่เนี่ยก็จะอาจจะแลนด์,811.53,814.386
255,หลอดยังทำไม่เสร็จ ยังไม่ได้ส่งพื้นที่,814.386,817.242
256,แล้วก็เรื่องของการที่จะต้องได้รับ,817.674,820.394
257,เป็นอนุญาตยาก็ต้องใช้เวลาด้วยครับ,820.394,823.386
258,ในการยื่นของออยอย ในการเจ็บเกลือบหลานอย่าง,823.722,826.266
5, No.,829.194,830.01
259,อันนี้ก็จะเป็นสาขาใหม่ๆนะครับที่เราจะ,831.018,834.066
260,เปิด ที่เขาบอกนะครับที่เพิ่งเปิดไปนะครับเมื่อๆ,834.066,837.114
261,เมื่อวันทุกข์ ก็คือ,837.354,839.2090000000001
262,เมื่อวันที่ 27 จันทร์ยา,839.2090000000001,841.4340000000001
263,แต่ตอนนี้ก็เป็นสังขาร,842.058,843.354
264,ภาษี 20,843.402,845.178
265,เปล่านะครับ เป็นสัปดาห์ที่ 28 นะครับ,845.226,847.962
266,แล้วก็ยังมีสาขาใหม่ที่เราจะเกิดร่วมกับ,849.45,852.738
267,ทาง OR นะครับ หรือสถานีน้ำมันฟ้าประท้วงเนี่ย,852.738,856.0260000000001
268,ก็กำลังจะเปิดอีก 2 สังขารนะครับ ใน,856.458,859.074
269,เดือนหน้า น่าจะเปิดเดือนหน้าในตุลาคนะครับ,859.074,861.6899999999999
270,ก็จะเป็นสัดธารศักดิ์ชิพของพระนครนะครับ,862.218,865.05
271,อยู่ที่ บทยุความดี 62 นะครับ,865.578,869.466
272,อันนี้จะเป็นสารข่าวต้นแบบของสังคมนิรุภัยพอ ๆ,869.898,873.402
273,เหมือนลักษณะคล้ายๆ ความสำเร็จที่มองนะครับ,873.738,875.802
274,บริษัทการหนึ่งจะอยู่ที่หนองแทนนะ,876.042,878.394
275,ก็แผนที่จะเปิดร่วมกันก็จะ,879.498,881.476
276,อยู่ประมาณ 12 ฝากหักกับปีนะครับ,881.476,883.674
277,เราก็พอมากันเจอวิชาใต้,884.394,887.322
278,ความล้มลือในรูปแบบอื่นๆ ทั้งเติมด้วยนะครับ,887.37,890.778
279,แล้วก็โรงพยาบาลนครทัศน์นะครับ นครทัศน์ที่นครศรีธรรมดา,892.074,895.472
280,ปัจจุบันก็กำลังอยู่รีโนเวท,895.472,897.596
281,นะครับ แล้วท่านได้ลงไปที่นครศรีธรรมดาเจ๋มาก,897.596,900.57
282,กำลังรีโนเวทนะครับในนี้ก็จะ,900.81,902.946
