start	end	text
0	19000	สวัสดีครับ สวัสดีแล้วคุณทุนทุกท่านนะครับ แล้วก็คุณสมค์ทุกท่านนะครับ
19000	25000	วันนี้ก็เป็นวัน Opsility Day นะครับ ที่ผมจะรายงานต่อบการณ์ล่าสุดนะครับ
25000	34000	เพื่อนจอร์ล่าสุดคุณไทยมาร์ด 2 นะครับ แล้วก็อัพเตรดเรื่องต่างๆของเวศกินเตอร์ฟามา นะครับ
34000	36000	โอเค ไม่เรียน
44000	46000	เดี๋ยวนะครับ โทษที
47000	51000	อย่าโทษ เริ่มการอาการเจอร์ฟัน 1080 นะครับ
51000	53000	ก็วิศัยทัดของบริษัทนะครับ
53000	57000	ก็เราต้องการเป็นผู้นำพิษฐานสุขภาพแบบครบวงจอดนะครับ
57000	61000	ทั้งของคนและของสัตว์จากต้นน้ำอย่างตายน้ำนะครับ
61000	67000	ก็ความว่าพิษฐานสุขภาพแบบครบวงจอดก็จะพูดให้ฟังนะครับว่าเป็นยังไงนะครับ
67000	71000	แล้วก็จากต้นน้ำอย่างตายน้ำเป็นยังไงนะครับ
71000	77000	สำหรับครบวงจอดนะครับ พิษฐานสุขภาพเนี่ย ในวิศัยทัดของบริษัทก็คือว่า
77000	81000	จะหมายความว่า ทั้งแต่ พี่หัวเป็นอิมิตรเองนะครับ
81000	83000	ก็คือเรื่องเกี่ยวกันตะวัตถกรรมนะครับ
83000	87000	ตอนนี้งานของผมที่ทำหลักๆก็คือเป็นการ
87000	89000	ไฟหาตะวัตถกรรมใหม่ๆนะครับ
89000	92000	เป็นการลัสสา และการป้องการโล่งนะครับ
92000	94000	แล้วก็ถัดมาเนี่ย ก็จะเป็นเรื่องของยา
94000	96000	ซึ่งปัจจุบัติมันมีโรงงานยาสองโล่งนะครับ
96000	98000	ที่ผลิตยาที่เรียกว่าเจนลิกนะครับ
98000	100000	หรือฟอมเมอร์สูติโทรที่เป็นเจนลิกนะครับ
100000	104000	แล้วก็จะมีเรื่องของหนึ่งข้าวสูติโทร
104000	106000	แล้วก็คอสเมจสูติโทรนะครับ
106000	108000	ซึ่งมันเป็นตรงกลางนะครับ
108000	110000	ระหว่างอาหารเสริมกับยานะครับ
110000	112000	ที่เรียกว่าโคชนาเทศสัตว์
112000	114000	แล้วก็ระหว่างเครื่องสมอางกับยา
114000	116000	เนี่ยก็จะเรียกว่า
116000	118000	คอสเมจสูติโทรหรือเมจสมอางนะครับ
118000	120000	แล้วก็หมายรวมถึง
120000	122000	ถึงเรื่องของเฮลตี้ฟูร์ด
122000	124000	เฮลตี้ดิกเนี่ยครับ
124000	126000	เฮลตี้สเนคนะครับ
126000	128000	แล้วก็โปสโนลแครร์เนี่ย
128000	130000	แล้วก็โปสโนลแครร์เนี่ย
130000	132000	ก็ยังอยู่ในสโคปที่ทาง
132000	134000	มีศัตรูดำเนินเทศกิจ
134000	136000	เพราะว่าผมเองก็มี
136000	138000	ความเชื่อว่า
138000	140000	ศิษฐานสุขภาพอย่างเช่น
140000	142000	อาหารเนี่ย อนาคตมันอาจจะแท็กเกิ้ลกัน
142000	144000	ตั้งแต่การที่เรารับกระทานอาหาร
144000	146000	อาหารที่เราทาน อะไรต่างๆเนี่ย
146000	148000	ก็คนก็จะเริ่ม
148000	150000	อาหารที่ทางจะต้องปลอดภัย
150000	152000	แล้วก็ดีต่อสุขภาพ
152000	154000	หรือทั้งเครื่องดื่ม
154000	156000	ทั้งของอาหารได้ด้วยแล้วครับ
156000	158000	พูดถึงฟอร์มอฟฟิริโคล
158000	160000	อันนี้ก็จะเป็นตัวอย่างของยาที่
160000	162000	โรงงานเราผลิต
162000	164000	จากทั้งสองโรงงานนึงครับ
164000	166000	ที่สมบัติประกาศที่ไทยใต้ชื่อไปสับย้อย
166000	168000	ที่ชื่อว่า Modern Pharma
168000	170000	แล้วก็โรงงานที่ชื่ออินเตอร์ฟอร์มา
170000	172000	ที่อยู่ศึกษยา
172000	174000	ที่อยู่ที่สมบัติศาสตร์กำลักษณะ
174000	176000	2 นะครับ อย่างเช่น
176000	178000	ซิมเมคก็เป็นยารถไขมัน
178000	180000	เมษฟอรินก็เป็นยาประหว่าง
180000	182000	ซิมซิมก็คือยาแท้แท้แบบไม่ง่ว
182000	184000	อัลโรทัพก็เป็นยาแท้แท้แบบไม่ง่ว
184000	186000	อีกกลุ่มหนึ่งนะครับ
186000	188000	ซึ่งสองกลุ่มนี้ก็เป็น
188000	190000	ประชาชนแท้ก็จะใช้กันอยู่
190000	192000	มันก็เป็นยารัศาสตร์โรคเลิศนะครับ
192000	194000	ข้างน้ำขวางก็จะเป็นโดยอย่างของยา
194000	196000	ที่ผลิตที่สมุดฝากการนะครับ
196000	198000	ปัจจุบาลเมียศาสตร์
198000	200000	ตัวเนี้ย เราก็มีแผนนะครับ
200000	202000	ในการที่จะทำให้มันเป็น OTC แปรนนะครับ
202000	204000	ที่จะเป็นยาที่
204000	206000	ใช้กันอย่างห้าหลายในร้านขยา
206000	208000	อย่างเช่น
208000	210000	เบลลาฟาลาน เป็นยาสามารถ
210000	212000	ประจำบ้านนะครับ
212000	214000	ที่เราเพิ่งขอตอบ
214000	216000	ก็ส่วนโรงงานอายุทยา
216000	218000	เราก็จะผลิตที่
218000	220000	น่าจะเป็นยอดของคนอีกนิดนะครับ
220000	222000	ที่เป็นกลุ่มที่เรียกว่ายาตานะครับ
222000	224000	ซึ่งยาตานะครับ
224000	226000	ก็อย่างที่เคยเรียนกันบางคืนหลาย ๆ ครั้งนะครับ
226000	228000	เพราะว่ายาตานะครับ
228000	230000	ในวงไทยมีโรงงาน
230000	232000	ที่สามารถผลิตยาตา
232000	234000	ได้ไม่กี่โลมนะครับ
234000	236000	คิดว่าถ้าเป็นผลิตในประเทศ
236000	238000	โรงงานอายุทยา
238000	240000	น่าจะเป็นอันดับหนึ่ง
240000	242000	แล้วนั่นก็จะเป็นสิ่งขาดนำเข้านะครับ
242000	244000	เราก็ผลิตในมาตรฐาน
244000	246000	อันดับโลกนะครับ
246000	248000	ที่กลุ่มนี้ก็เลยยังเป็นที่ทางเทวา
248000	250000	หรือศัตรูยาดับหนึ่ง
250000	252000	ของอิสระเอลนะครับ
252000	254000	แล้วก็เป็นยาเจนลิก
254000	256000	นี่ก็จะเป็นตัวอย่างนะครับ
256000	258000	ภาษณา
258000	260000	ที่ จริงๆ เราเป็นคลิปนะครับ
260000	262000	แต่เข้าใจว่า
262000	264000	นี่ก็จะเป็นตัวอย่างนะครับ
264000	266000	นี่ก็จะเป็นตัวอย่างนะครับ
266000	268000	นี่ก็จะเป็นตัวอย่างนะครับ
268000	270000	นี่ก็จะเป็นตัวอย่างนะครับ
270000	272000	นี่ก็จะเป็นตัวอย่างนะครับ
272000	274000	นี่ก็จะเป็นตัวอย่างนะครับ
274000	276000	นี่ก็จะเป็นตัวอย่างนะครับ
276000	278000	นี่ก็จะเป็นตัวอย่างนะครับ
278000	280000	ภาษณา
280000	282000	ที่ จริงๆ เราเป็นคลิปนะครับ
282000	284000	แต่เข้าใจว่า
284000	286000	ไม่แน่ใจว่าจะ
286000	288000	เปิดไม่ได้นะครับ
288000	290000	กวนกฎลิงรษมไป
290000	292000	เป็น เป็น PDF ฟายนะครับ
292000	294000	นี่เราก็จะมาด้วย
294000	296000	โปรดช่อ euchนิ้งเรื่องของการ
296000	298000	รสไขลลับกรบรนภาพการปวดทั้ง 7
298000	300000	นะครับ
300000	301840	เราจะเห็นว่ายาแ Hitler  baru อย מ.
301840	305680	อย่างนึกแค่ว่าปวดหัว  swapで 그러면ấtั่ง awakening sempan
306800	308800	ก่อมาจากการปวดหัว ถ้าพ้นให้รอจาก 7 ปุ่น
308940	312180	การปวด มัวถ้า contemporary
312240	314640	ก็คงต้อง因為 เขาเกิดข้อใจเก่งุ่บถม
316480	320000	ating sempan มาสักเมื่อ imper propio
320000	320800	ก่อสurenca ก็ENN-T★
320920	324140	ก็ต้องขอ consistency ส polished สร้างอังกฤษหนัง
324140	326360	จะapper p.s. ตอนนั้น ต้องจะออก ในตัวamientos  ersto
326360	331860	หัวปวดประชำเดือน ปวดหลัง
334860	339860	ปวดหัวปวดหลัง ปวดฟัน ปวดข้อ ปวดก้ำเนื้อ ปวดประชำเดือน ปวดเว้จักษ์ไข่หวาน
340360	345360	ปวดหลัง ปวดข้อ ปวดเว้จักษ์ไข่หวาน
345360	348460	โปรดเทรด และก็ล้างใส่ยาโด่ใฝ่
348460	352120	อันนี้เราก็คิดว่าเราจะจ่ายได้อยู่ประมาณ ซับ 4,000 ล้านชา
352120	356020	เราพยายามจะขยายให้พบ 10,000 ล้านชา
356020	371320	และของนี้เราก็ป
371320	376320	มีโปรแบคเซเว่นท์ที่คุณมันคัตเตอร์ยาน เอ็งคอร์ส
380320	383320	ในกลุ่มนุษย์คาวซูดิโทร เราก็เหมือนเดิม
383320	387320	ผลับโดยทงโลก จะมีตั้งแต่โปรแบคฟรีโบล วิตามินร่วมต่างๆ
389320	392320	แล้วก็อย่างที่ทุกท่านทราบนะครับ
392320	396320	ว่าโปรแบคของเราเนี่ย ก็ยังเป็นยอดแข่งอันดับหนึ่งในร้ายใจยา
396320	400320	แล้วในโรงพยาบาลก็เป็นอันดับหนึ่งนะครับ ในเนี้ยของกลุ่มเซ็ตคันโปรโกยอติกนะครับ
402320	406320	ก็... นึงจากว่าก็จะมีผู้ชายคันอยู่อย่างแค่หลายนะครับ
409320	413320	สิ่งที่เรา... รอเห็นไหมครับ ว่ามีตัวสีแรงเนี้ย
413320	417320	คือว่า บอลระหว่างสิ่งชาพฟอมแล้วเล่นแบบ
417320	421320	และโปรแบบเนี้ย ผมเองก็มาจากเน็บว่า
421320	425320	ว่า วิธีโปรโกยอติกจังชุบัลในของดาบีข้าง ๆ เยอะนะครับ
425320	429320	แรงแรกก็จริง ตอนนี้ก็น่าจะมีเป็นร้อยขนิดตะผัดเนี่ย
429320	433320	แต่ก็เพราะว่า ผมเองก็จะเน็บว่า คนจะใช้ตัวที่
433320	437320	คันอันดับผักการทางแพร่ ไม่ว่าจะแพร่เป็นสัตว์สกอลเนี่ย
437320	441200	และก็น่าจะเป็นแบบตัวที่ขายอยู่ในโรงบ้าน
442060	445020	และตัว adapter ทรีนิคชั้ฟdistненияนั้นนะครับ
445020	465320	ทรีนิคชาลาว Imma
465320	471320	ก็เป็นไทยใต้แปลงที่ชื่อว่า TSOMOS, U-MOS, แล้วก็ U-TOOL-PACED นะครับ
472320	476320	อันนี้ก็ยังสิกว่า ตอนเราก็คือเป็นแปลงเดียวที่เรา
477320	482320	อันนี้เขาต้องได้อันวัจฉาเอาหย่อนะครับ ว่าฟกจบในหลอดเดียวนะครับ
482320	486320	เป็นได้โปรดิสิตของเราแขนศึกกุรุณาการแปลกประโยชน์นะครับ
486320	494320	ก็ได้ทุกๆด้านนะครับ ว่าจะฟันเฉา กินปากนะครับ ลดค่าพัด ลดค่าผินปูนนะครับ อะไรต่างๆ
495320	500320	จริงๆแล้วในแรกของการวิจัยเนี่ย ในแรกของเฟเปอร์ ปราบิเคชั่นต่างๆเนี่ย
501320	508320	แนวโนศนะครับ ถ้าเราถามธนาแพรนเนี่ย ก็จะมีปฏิบัติกับการใช้โปรดิสิตเนี่ย เป็นอิยาสิฟันมากขึ้นเรื่อยๆนะครับ
508320	512320	เราก็อยากจะเรียนม้ย ๆ  responsive ของเรานี่เป็นสุขที่สักครั้ง  qualité นะครับ ลงใส่สายฟันไม่มาก รสชาติอ่อนmodal มาสร้างสมอิร momento in the mouth
521320	532840	จริงๆ แล้ว plays back in bait, the residence the home Tim ноแกรнดล์เชียะ คนนี้ ไม่ถึงöst dusk genausoมีถึงมาสร้าง Hasik and devil
532840	535840	เพราะว่าช้องปากที่ดีเนี่ย เป็นพื้นอาหารนะครับ
535840	539840	ในการที่จะมีชีวิตที่ยิ่งยาว แล้วก็ชลอไว้นะครับ
539840	542840	แล้วครับ รอจากตำไส้ แล้วปากก็จะเป็น
542840	545840	เริ่มต้นต้นการรับอาหารอาหาร
545840	550840	แล้วก็ตลอดทั้งเดือนอาหารที่ดีเนี่ย ก็จะทำให้สุขภาพดีนะครับ
550840	553840	แล้วก็ตัวนี้ ที่เราคิดว่าเป็นแนววัตถกรรมนะครับ
553840	557840	ซึ่งอยู่ใต้ใต้ประสาท JV ระหว่าง Interforma กับ Thayunian นะครับ
557840	561840	ฮัน Interforma ถึงคุณ 51% ฮัน Thayunian ถึงคุณ 49% นะครับ
561840	563840	ชื่อ Interforma สิบิตา
563840	567840	ตอนนี้เราก็หลังจากเรา ลองทดลองกล่าหลาดต่างๆ
567840	573840	ก็คิดว่าน่าจะถึงเวลาที่เราจะเริ่ม ความการณ์ที่จะให้คนรู้จักแค่ไหลนะครับ
573840	576840	ก็มี DSA ถึง 600 มิลิตรัมนะครับ
577840	581840	เราก็คิดว่าตัวเนี้ย จริงๆเราเป็นวัตถกรรมมากนะครับ
581840	584840	ผมเองก็ถ่ายทุกวัน ให้คุณแม่ถ่าย ให้คุณยุ่งถ่ายเนี่ย
584840	589840	เพราะเพราะว่าจริงๆเรา ภิษฐานลมในท้องตลาด
589840	592840	ไม่มี DSA ได้ถึง ไม่เกิดแค่ 100 กว่า มิลิตรัมนะครับ
592840	595840	600 มิลิตรัมเนี่ย แค่เกี่ยวกับการปลาถึง
595840	599840	เราจะเก็บ DSA 600 มิลิตรัมต้องผ่านปลาถึง 20 ปีโลกนะครับ
599840	602840	เนี้ยก็มาด้วย position 20 ปีโลกนะครับ
602840	605840	แล้วก็อยากให้เรียนว่า โรงงานยุภยาเนี่ย
605840	608840	ตอนนี้เราก็ทำเนี่ยปีที่แรก 2022
608840	611840	เนี่ยเราจะปรากให้เป็น EU สตาร์ดนะครับ
611840	614840	เป็นสตาร์ดระดับโลก สามารถจะส่งออกไปทั่วโลกได้
614840	617840	เรากำลังทำยาตานะครับ ซึ่งเป็นไพลน์ของโลกนะครับ
617840	620840	เพราะว่าปฏิบัติเดียว คนจะเป็นโลกตากันข้างๆมานะครับ
620840	623840	แม้ว่าเด็กที่จะเป็นใส่ตาสั้น คนแก่มากขึ้น
623840	626840	ก็จะมีใส่ตายามมากขึ้น มีต้อประจอกมากขึ้น ต้อหินมากขึ้น
626840	629840	ตากเศษมากขึ้นนะครับ
629840	632840	แล้วก็นี่ครับ ก็คิดว่าน่าจะร้อนสุดได้นะครับ
632840	635840	แล้วก็เราก็มีแผนนะครับ ที่เราก็จะทำไปสู่ยาสมุนไทยแบบโมเดินนะครับ แบบสมัยใหม่
635840	638840	แล้วก็มีแผนที่จะทำยามอง ยาดม ลูกอมสมุนไทยนะครับ
638840	641840	เนื่องจากว่าโรงงานสมุนประการ เราได้รับบัญญาณในการผลิตเป็นแผนสมุนไทยแล้วนะครับ
641840	644840	สมุนไทยก็เป็นเหนืองของโลกนะครับ
644840	647840	แล้วเราก็คิดว่าน่าจะร้อนสุดได้นะครับ
662840	665840	เราก็คิดว่าลูกอมก็เป็นลูกอมที่มีแปลกต่างกับบัญษาอาการไอได้นะครับ
665840	668840	เราก็คิดว่าลูกอมก็เป็นลูกอมที่มีแปลกต่างกับบัญษาอาการไอได้นะครับ
668840	671840	เราก็คิดว่าลูกอมก็เป็นลูกอมที่มีแปลกต่างกับบัญษาอาการไอได้นะครับ
671840	674840	แล้วเราก็คิดว่าน่าจะร้อนสุดได้นะครับ
674840	677840	แล้วเราก็คิดว่าน่าจะร้อนสุดได้นะครับ
677840	680840	แล้วเราก็คิดว่าน่าจะร้อนสุดได้นะครับ
680840	683840	แล้วเราก็คิดว่าน่าจะร้อนสุดได้นะครับ
683840	686840	แล้วเราก็คิดว่าน่าจะร้อนสุดได้นะครับ
686840	689840	แล้วเราก็คิดว่าน่าจะร้อนสุดได้นะครับ
689840	692840	แล้วเราก็คิดว่าน่าจะร้อนสุดได้นะครับ
692840	695840	แล้วเราก็คิดว่าน่าจะร้อนสุดได้นะครับ
695840	698840	แล้วเราก็คิดว่าน่าจะร้อนสุดได้นะครับ
698840	701840	แล้วเราก็คิดว่าน่าจะร้อนสุดได้นะครับ
701840	704840	แล้วเราก็คิดว่าน่าจะร้อนสุดได้นะครับ
704840	707840	แล้วเราก็คิดว่าน่าจะร้อนสุดได้นะครับ
707840	710840	แล้วเราก็คิดว่าน่าจะร้อนสุดได้นะครับ
710840	713840	แล้วเราก็คิดว่าน่าจะร้อนสุดได้นะครับ
713840	716840	แล้วเราก็คิดว่าน่าจะร้อนสุดได้นะครับ
716840	719840	แล้วเราก็คิดว่าน่าจะร้อนสุดได้นะครับ
719840	722840	แล้วเราก็คิดว่าน่าจะร้อนสุดได้นะครับ
722840	725840	แล้วเราก็คิดว่าน่าจะร้อนสุดได้นะครับ
725840	728840	แล้วเราก็คิดว่าน่าจะร้อนสุดได้นะครับ
728840	731840	แล้วเราก็คิดว่าน่าจะร้อนสุดได้นะครับ
731840	734840	แล้วเราก็คิดว่าน่าจะร้อนสุดได้นะครับ
734840	737840	แล้วเราก็คิดว่าน่าจะร้อนสุดได้นะครับ
737840	740840	แล้วเราก็คิดว่าน่าจะร้อนสุดได้นะครับ
740840	743840	แล้วเราก็คิดว่าน่าจะร้อนสุดได้นะครับ
743840	746840	แล้วเราก็คิดว่าน่าจะร้อนสุดได้นะครับ
746840	749840	แล้วเราก็คิดว่าน่าจะร้อนสุดได้นะครับ
749840	752840	แล้วเราก็คิดว่าน่าจะร้อนสุดได้นะครับ
752840	755840	แล้วเราก็คิดว่าน่าจะร้อนสุดได้นะครับ
755840	758840	แล้วเราก็คิดว่าน่าจะร้อนสุดได้นะครับ
758840	761840	แล้วเราก็คิดว่าน่าจะร้อนสุดได้นะครับ
761840	764840	แล้วเราก็คิดว่าน่าจะร้อนสุดได้นะครับ
764840	767840	แล้วเราก็คิดว่าน่าจะร้อนสุดได้นะครับ
767840	770840	แล้วเราก็คิดว่าน่าจะร้อนสุดได้นะครับ
770840	773840	แล้วเราก็คิดว่าน่าจะร้อนสุดได้นะครับ
773840	776840	แล้วเราก็คิดว่าน่าจะร้อนสุดได้นะครับ
777840	780840	พูดถึงตอนนี้ โรงงานยุทยาปัจจุบัน
780840	783840	แล้วก็จะฟิลปราศิติได้มากที่เรื่อยๆ
783840	786840	จากอย่างนี้ เราก็จะไปคุยกับทันเนอร์ชิฟต์เพิ่มนะครับ
786840	789840	จึงก็ยังเป็นออนโกยิ่งโปรเซนต์อยู่เรื่อยๆนะครับ
789840	792840	จึงก็ยังเป็นออนโกยิ่งโปรเซนต์อยู่เรื่อยๆนะครับ
792840	795840	ยังไงของปายน้ำปัจจุบันเนี่ย
795840	798840	เราก็มีการขยายเพิ่มอีก 7 สาขา
798840	801840	ในปีนี้ก็เป็น 27 สาขานะครับ
801840	804840	แล้วก็ที่ว่าถึงซิ้งปีน
804840	807840	เบ้าจริงๆเรา 35 สาขา
807840	810840	แต่นั่นจะจบที่ประมาณ 30-31 สาขา
810840	813840	เพราะว่าหลายๆที่เนี่ยก็
813840	816840	อาจจะแรงหลอดยังทำไม่เสร็จ ยังไม่ส่งคุณพี่นะครับ
816840	819840	แล้วก็เรื่องของการที่จะต้องได้รับไป
819840	822840	หรือยาๆก็ต้องใช้เวลาด้วยค่ะ
822840	825840	การยืมของอ.ย. ในการจะเปิดร้านยา
825840	828840	นะครับ
828840	831840	ก็ อันนี้ก็จะเป็นสาขาใหม่ๆ
831840	834840	ที่เราจะเปิด Little Walk นี่ครับ
834840	837840	ที่เพิ่งเปิดไปเมื่อวันพุทธ
837840	840840	ก็คือวันวาด 0 นะครับ วันที่ 27 จันยา
840840	843840	แล้วตอนนี้ก็เป็นสาขาที่
843840	846840	น่าจะ 28 นะครับ เป็นสาขา 28
